serial_id,ttspl_id,serial_number,customer_id,customer_name,desired_rent_start,desired_rate,sheet_rent,crm_amount,amt_delta,current_status,current_customer,current_rent_start,current_rate,issues
7690,TTSPL5194,PF1C3CYE,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1299,1299,1299,0,in_stock,,,,status=in_stock|customer null->117|ttspl_null|ttspl_set|rent_start_null|rate null->1299
7780,TTSPL5463,PF34A01E,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1799,1799,1799,0,in_stock,,,,status=in_stock|customer null->117|ttspl_null|ttspl_set|rent_start_null|rate null->1799
6746,TTSPL4244,5QBJM53,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1500,1500,1500,0,in_stock,,,,status=in_stock|customer null->117|ttspl_null|ttspl_set|rent_start_null|rate null->1500
6748,TTSPL4246,5BGF0B3,117,BLUEJAY WORKTECH PRIVATE LIMITED,2026-08-01,1799,1799,1799,0,in_stock,,,,status=in_stock|customer null->117|ttspl_null|ttspl_set|rent_start_null|rate null->1799
7380,TTSPL4884,FG581X2,115,ATTITUDE EVENTS PRIVATE LIMITED,2026-08-01,1499,1499,1499,0,in_stock,,,,status=in_stock|customer null->115|ttspl_null|ttspl_set|rent_start_null|rate null->1499
7409,TTSPL4913,PC1GXHW6,115,ATTITUDE EVENTS PRIVATE LIMITED,2026-08-01,1499,1499,1499,0,in_stock,,,,status=in_stock|customer null->115|ttspl_null|ttspl_set|rent_start_null|rate null->1499
8124,TTSPL6284,93Q5V93,115,ATTITUDE EVENTS PRIVATE LIMITED,2026-08-01,1499,1499,1499,0,in_stock,,,,status=in_stock|customer null->115|ttspl_null|ttspl_set|rent_start_null|rate null->1499
6721,TTSPL4219,5QN5273,115,ATTITUDE EVENTS PRIVATE LIMITED,2026-08-01,2300,2300,2300,0,in_stock,,,,status=in_stock|customer null->115|ttspl_null|ttspl_set|rent_start_null|rate null->2300
7523,TTSPL5027,DP3DPV2,115,ATTITUDE EVENTS PRIVATE LIMITED,2026-08-01,1525,1525,1525,0,in_stock,,,,status=in_stock|customer null->115|ttspl_null|ttspl_set|rent_start_null|rate null->1525
6719,TTSPL4217,9ZDNK63,115,ATTITUDE EVENTS PRIVATE LIMITED,2026-08-01,2999,2999,2999,0,in_stock,,,,status=in_stock|customer null->115|ttspl_null|ttspl_set|rent_start_null|rate null->2999
8459,TTSPL7543,2MQ4490GJ1,56,Tekuncorked Aiiot Private Limited,2026-07-28,4199,4740.81,5644.03,-903.22,rented,56,2026-07-28,4999.00,rate 4999.00->4199
34,TTSPL3567,PC1M8P31,26,Mercury Solutions Limited,2026-08-01,1699,1699,0,1699,rented,26,,1699.00,rent_start_null
3946,TTSPL3574,PC1S0L6S,26,Mercury Solutions Limited,2026-08-01,1699,1699,0,1699,rented,26,2026-06-22,1699.00,ttspl_set
4090,TTSPLGR0165,1SCY0B3,26,Mercury Solutions Limited,2026-08-01,1699,1699,3288.3900000000003,-1589.39,rented,26,2026-07-03,1699.00,AMOUNT_DIFF_ONLY
3473,TTSPL6664,HY23C63,26,Mercury Solutions Limited,2026-07-11,1699,2849.94,2904.74,-54.8,rented,26,2026-07-10,1699.00,AMOUNT_DIFF_ONLY
7621,TTSPL5125,PG04GTJC,119,EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,2026-08-01,2400,2400,2400,0,in_stock,,,,status=in_stock|customer null->119|ttspl_null|ttspl_set|rent_start_null|rate null->2400
7336,TTSPL4840,D4Y60J3,119,EPIC (INDIA) TOURS AND EVENTS PRIVATE LIMITED,2026-08-01,2499,2499,2499,0,in_stock,,,,status=in_stock|customer null->119|ttspl_null|ttspl_set|rent_start_null|rate null->2499
167,TTSPL4764,HZ2XZH3,36,KULSYS TECHNOLOGIES PRIVATE LIMITED,2026-08-01,3500,3500,6322.58,-2822.58,rented,36,2026-07-07,3500.00,AMOUNT_DIFF_ONLY
1483,TTSPL4657,66RM3F3,36,KULSYS TECHNOLOGIES PRIVATE LIMITED,2026-07-08,3500,6209.68,6322.58,-112.9,rented,36,2026-07-07,3500.00,AMOUNT_DIFF_ONLY
7195,TTSPL4697,PF31PDTR,22,NUTRITIONALAB PRIVATE LIMITED,2026-08-01,1999,1999,1999,0,in_stock,,,,status=in_stock|customer null->22|ttspl_null|ttspl_set|rent_start_null|rate null->1999
7270,TTSPL4772,H1B50J3,22,NUTRITIONALAB PRIVATE LIMITED,2026-08-01,2999,2999,2999,0,in_stock,,,,status=in_stock|customer null->22|ttspl_null|ttspl_set|rent_start_null|rate null->2999
