customer_name,sheet_client_name,customer_id,invoice_number,sheet_total_count,crm_total_count,count_diff,count_match,sheet_total_price,crm_invoice_price,price_diff,price_match,crm_catchup_count,crm_catchup_amount,sheet_catchup_count,matched_assets,missing_on_invoice_count,extra_on_invoice_count,missing_on_invoice,extra_on_invoice,aligned
MANNA BIOTECH PRIVATE LIMITED,MANNA BIOTECH PRIVATE LIMITED,38,INV-0890,1,2,-1,NO,2118,3217,-1099,NO,0,0,0,1,0,1,,TTSPL4095,NO
MANTARAV PRIVATE LIMITED,MANTARAV PRIVATE LIMITED,968,INV-0866,1,1,0,YES,5399,5399,0,YES,0,0,0,1,0,0,,,YES
Max LT Technologies,MAX LT TECHNOLOGIES LLP,921,INV-0819,1,1,0,YES,1999,1999,0,YES,0,0,0,1,0,0,,,YES
Maxlence Digital (OPC) Private Limited,Maxlence Digital (OPC) Private Limited,211,INV-0906,1,2,-1,NO,8593.55,18432.26,-9838.71,NO,2,6032.26,1,1,0,1,,TTSPL4614,NO
Mercury Solutions Limited,Mercury Solutions Limited,26,INV-0798,33,34,-1,NO,57255.77,59154.78,-1899.01,NO,3,2688.78,3,33,0,1,,TTSPL7198,NO
MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,MERITSHOT ZETTA EDUTECH PRIVATE LIMITED,167,INV-0857,1,1,0,YES,5999,5999,0,YES,0,0,0,1,0,0,,,YES
MERVICE INFOTECH PRIVATE LIMITED,MERVICE INFOTECH PRIVATE LIMITED,196,INV-0793,19,19,0,YES,33854.97,33854.97,0,YES,5,5173.97,5,19,0,0,,,YES
MNR Solutions Pvt. Ltd.,MNR Solutions Pvt. Ltd.,178,INV-0920,28,30,-2,NO,32446.13,35646.13,-3200,NO,6,2216.13,6,28,0,2,,TTSPL7587|TTSPL7586,NO
Mobifly Brain Box,Mobifly Brain Box,,,13,0,13,NO,24750,0,24750,NO,0,0,2,0,13,0,TTSPL1983|TTSPL2626|TTSPL3844|TTSPL5593|TTSPL6676|TTSPL3187|TTSPL6590|TTSPL6473|TTSPL6459|TTSPL6573|TTSPL6706|TTSPL6293|TTSPL6329,,NO
MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED,6,INV-0841,29,30,-1,NO,63098,64898,-1800,NO,0,0,0,29,0,1,,TTSPL1056,NO
NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,87,INV-0743,7,7,0,YES,7893,7893,0,YES,0,0,0,7,0,0,,,YES
Nexthire LLP,Nexthire LLP,52,INV-0750,5,6,-1,NO,4995,6795,-1800,NO,0,0,0,5,0,1,,TTSPL7148,NO
NOTUS SERVICES PRIVATE LIMITED,NOTUS SERVICES PRIVATE LIMITED,61,INV-0805,20,18,2,NO,31197.19,28683,2514.19,NO,0,0,0,17,3,1,TTSPL5192|TTSPL7496|TTSPL7500,3749,NO
NUTRITIONALAB PRIVATE LIMITED,Wellbeing/NUTRITIONALAB PRIVATE LIMITED,22,INV-0766,51,51,0,YES,230197.77,230197.78,-0.01,YES,3,10144.78,3,51,0,0,,,YES
OEX TECH SOLUTION PVT. LTD,OEX TECH SOLUTION PVT. LTD,53,INV-0882,23,23,0,YES,59677,59677,0,YES,0,0,0,23,0,0,,,YES
OLA,OLA,160,INV-0806,4,4,0,YES,4,4,0,YES,0,0,0,4,0,0,,,YES
OPERISOFT TECHNOLOGIES PRIVATE LIMITED,OPERISOFT TECHNOLOGIES PRIVATE LIMITED,193,INV-0893,5,5,0,YES,9995,9995,0,YES,0,0,0,5,0,0,,,YES
Optimizing Resources Private Limited,Optimizing Resources Private Limited,29,INV-0828,99,105,-6,NO,167574.68,176274.68,-8700,NO,8,9612.68,8,99,0,6,,TTSPL2629|TTSPL2942|TTSPL1197|TTSPL1151|TTSPL2302|TTSPL2116,NO
PARTS AVATAR INDIA PRIVATE LIMITED,Parts Avatar India Pvt. Ltd.,72,INV-0801,2,41,-39,NO,11879.03,56778.03,-44899,NO,2,3379.03,2,2,0,39,,TTSPL2165|TTSPL5438|TTSPL5485|TTSPL5202|TTSPL1967|TTSPL2174|TTSPL3305|TTSPL5206|TTSPL5487|TTSPL5377|TTSPL5313|TTSPL4050|TTSPL4959|TTSPL5199|TTSPL5207|TTSPL2728|TTSPL5420|TTSPL5482|TTSPL3366|TTSPL4904|TTSPL3512|TTSPL3983|TTSPL3769|TTSPL5481|TTSPL5380|TTSPL3338|TTSPL5205|TTSPL5432|TTSPL5263|TTSPL5429|TTSPL1676|2789|TTSPL5442|TTSPL4916|TTSPL5378|TTSPL5489|TTSPL5484|TTSPL5422|TTSPLGR0088,NO
Pas Digital Pvt Ltd,Pas Digital Pvt Ltd,62,INV-0870,13,14,-1,NO,27310,28809,-1499,NO,0,0,0,13,0,1,,TTSPL4155,NO
