#,TTSPL,Serial,Customer,Rental Date,Rental DC,Return DC,Sale Date,Sale DC,Sale Price
192,TTSPL3097,47K23Z2,BM Computers,2026-03-17,DC-003361,"RDC000551, RDC000595",2026-03-30,DC-003454,16102.00
193,TTSPL3159,BK88N13,BM Computers,2026-02-06,DC-001039,RDC000594,2026-03-30,DC-003454,16102.00
194,TTSPL6195,PF1BXJM3,Easy Fix Handy Solutions India Private Limited,2026-02-06,DC-002450,RDC000591,2026-03-28,DC-003446,24000.00
195,TTSPL2905,CJ6NJM2,BM Computers,2026-02-06,DC-000840,RDC000496,2026-03-20,DC-003345,11864.00
196,TTSPL5147,PF307C32,RRA Project Management Private Limited,2026-02-06,DC-002460,RDC000372,2026-03-12,DC-003307,26000.00
197,TTSPL5290,PF2P4W9V,RRA Project Management Private Limited,2026-02-06,DC-000253,RDC000456,2026-03-12,DC-003307,26000.00
198,TTSPL6187,PF1BWEVP,RRA Project Management Private Limited,2026-02-24,DC-003093,RDC000367,2026-03-11,DC-003283,26000.00
199,TTSPL1928,4FB85Q2,Indigenesis Consulting,2026-02-06,DC-001544,RDC000212,2026-03-11,DC-002921,19499.00
200,TTSPL4699,PF35YNVG,RRA Project Management Private Limited,2026-02-06,DC-000934,RDC000195,2026-03-10,DC-003260,26000.00
201,TTSPL6157,PF31SCNK,RRA Project Management Private Limited,2026-02-06,DC-002441,RDC000262,2026-03-10,DC-003260,26000.00
202,TTSPL6177,PF1A60YU,RRA Project Management Private Limited,2026-03-09,DC-003138,,2026-03-10,DC-003260,26000.00
203,TTSPL6910,PF254RXY,RRA Project Management Private Limited,2026-02-26,DC-003108,RDC000425,2026-03-10,DC-003260,26000.00
204,TTSPL3487,CNW72J3,Teblox Labs LLP,2026-02-06,DC-001406,RDC000327,2026-02-21,DC-003022,34500.00
