sheet_row,sheet_ttspl,crm_ttspl,hardware_serial,location,warehouse_status,customer_name,inventory_status,qc_status,floor_ticket,floor_stage,current_dc,warehouse_bin,model,note
22,TTSPL2113,TTSPL2113,FZSWMF2,Warehouse,QC Process · Assembly & Software,,returned,pending,#1516,Assembly & Software,DC-000535,,Dell Dell Latitude 5490,
23,TTSPL2114,TTSPL2114,CHJR0Z2,With customer (rented),,BIZDATEUP TECHNOLOGIES PRIVATE LIMITED,rented,out_stock,,,DC-003039,,Dell Dell Latitude 5490,
24,TTSPL2130,TTSPL2130,G4XXMF2,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/0900,,Dell Dell Latitude 5490,
25,TTSPL2178,TTSPL2178,G0J0NF2,Warehouse,QC Process · QC1,,returned,pending,#2115,QC1,,,Dell Dell Latitude 5490,
26,TTSPL2182,TTSPL2182,627WMF2,Warehouse,QC Process · Diagnosis,,returned,pending,#1519,Diagnosis,DC-000536,,Dell Dell Latitude 5490,
27,TTSPL2356,TTSPL2356,FVFGW7NQQ05D,With customer (rented),,RHOPHI ANALYTICS LLP (Punjab),rented,out_stock,,,DC/26-27/0676,,Dell Apple Macbook Pro,
28,TTSPL2453,TTSPL2453,1BH18S2,Warehouse,QC Process · QC1,,returned,pending,#2529,QC1,,,Dell Dell Latitude 5490,
29,TTSPL2595,TTSPL2595,CXGQGJ3,With customer (rented),,SLEEP MANAGEMENT PRIVATE LIMITED(New),rented,out_stock,,,DC/26-27/0609,,Dell Dell Vostro 3500,
30,TTSPL2600,TTSPL2600,HVLQGJ3,Warehouse,QC Process · Assembly & Software,,in_stock,pending,#1248,Assembly & Software,,,Dell Dell Vostro 3500,
31,TTSPL2691,TTSPL2691,PC0GBAWV,Warehouse,QC Process · QC1,,returned,pending,#2620,QC1,,,Lenovo Thinkpad T460,
32,TTSPL2732,TTSPL2732,PC0KTCVE,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/0901,,Dell Lenovo Thinkpad T460,
33,TTSPL2792,TTSPL2792,FWPZ5H2,With customer (sold),,BM Computers,sold,out_stock,,,DC/26-27/0381,,Dell Dell Latitude E5470,
34,TTSPL2814,TTSPL2814,DK3JPH2,With customer (sold),,B M TECHNOLOGIES,sold,out_stock,,,DC/26-27/0633,,Dell Dell Latitude E5480,
35,TTSPL2915,TTSPL2915,BP9ZJM2,Warehouse,QC Process · QC1,,returned,pending,#2703,QC1,,,Dell Dell Latitude 7480,
36,TTSPL2922,TTSPL2922,F446PH2,With customer (sold),,B M TECHNOLOGIES,sold,passed,,,DC/26-27/0855,,Dell Dell Latitude 7480,
37,TTSPL2925,TTSPL2925,GVDL5Q2,With customer (rented),,HYREKART INFRA INDIA PRIVATE LIMITED,rented,passed,,,DC/26-27/1152,,Dell Latitude 7490,
