customer_name_sheet,crm_customer_id,crm_customer_name,crm_total_active_assets,sheet_active_assets_with_rent,total_rent_amount_sheet,customer_match_method,total_per_month_rate_sheet,matched_assets,unmatched_sheet_assets,crm_active_not_on_sheet,rate_match_count,rate_mismatch_count,asset_count_aligned,count_diff_sheet_minus_crm
EXIMPLE TECHNOLOGIES PRIVATE LIMITED,195,EXIMPLE TECHNOLOGIES PRIVATE LIMITED,7,7,11194,name,11194,7,0,0,5,2,YES,0
Beom Commerce Private Limited,131,Beom Commerce Private Limited,8,10,11190.32,name,12400,9,1,0,8,1,NO,2
RANGREZA RETAIL SERVICES PRIVATE LIMITED,80,Rangreza Retail Services Pvt Ltd,4,4,10947,name,10947,4,0,0,4,0,YES,0
COAL BEAUTY PRIVATE LIMITED,145,COAL BEAUTY PRIVATE LIMITED,9,9,10791,name,10791,9,0,0,9,0,YES,0
SBNRI TECHNOLOGIES PRIVATE LIMITED,217,SBNRI TECHNOLOGIES PRIVATE LIMITED (HR),4,4,10098,name,10098,4,0,0,4,0,YES,0
86 AGENCY,128,86 AGENCY,5,5,9995,name,9995,5,0,0,5,0,YES,0
OPERISOFT TECHNOLOGIES PRIVATE LIMITED,193,OPERISOFT TECHNOLOGIES PRIVATE LIMITED,5,5,9995,name,9995,5,0,0,5,0,YES,0
Realvibe digital media pvt. Ltd.,82,RealVibe digital media pvt ltd,2,2,9598,name,9598,2,0,0,2,0,YES,0
Khushi Housing Solutions Private Limited,263,Khushi Housing Solutions Private Limited,1,1,8999,name,8999,1,0,0,1,0,YES,0
QUREX HEALTH PRIVATE LIMITED,959,QUREX HEALTH PRIVATE LIMITED,5,5,8987.68,name,7595,5,0,0,5,0,YES,0
Aamore Solutions,125,Aamore solutions,6,6,8700,name,8700,6,0,0,6,0,YES,0
Allyventure (India) Private Limited,226,ALLYVENTURE (INDIA) PRIVATE LIMITED,4,4,7996,name,7996,4,0,0,4,0,YES,0
Youbooks Edtech India Pvt. Ltd.,233,Youbooks Edtech India Pvt. Ltd.,7,7,7894,name,7894,7,0,0,7,0,YES,0
NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,87,NECTAR INFOTEL SOLUTIONS PRIVATE LIMITED,7,7,7893,name,7893,7,0,0,7,0,YES,0
24X7 STORE PRIVATE LIMITED,24,24X7 STORE PRIVATE LIMITED,5,5,7496,name,7496,5,0,0,5,0,YES,0
EXOTALENT CONSULTANCY SERVICES LLP,182,EXOTALENT CONSULTANCY SERVICES LLP,3,4,7238.97,name,7297,3,1,0,3,0,NO,1
AWL India Private Limited,177,AWL India Private Limited,5,5,7000,name,7000,5,0,0,5,0,YES,0
SOM PRO FACILITIES INDIA PRIVATE LIMITED,258,SOM PRO FACILITIES INDIA PRIVATE LIMITED,5,5,6745,name,6745,5,0,0,5,0,YES,0
Alpha Rites,227,Alpha Rites,3,3,6597,name,6597,3,0,0,3,0,YES,0
SYNERGY SOFTWARES LIMITED,44,SYNERGY SOFTWARES LIMITED,5,4,6550,name,6550,4,0,1,4,0,NO,-1
Inaya Reality,34,Inaya Realty,4,4,6396,name,6396,4,0,0,4,0,YES,0
FLights Mojo Bookings Private Limited,205,Flights Mojo Bookings Private Limited,1,1,6000,name,6000,1,0,0,1,0,YES,0
