TTSPL,Serial,Return Customer,Return Type,Delivery Date,Return Date,Outbound DC,Return DC,Delivery Customer,Same Customer,Current Status
TTSPL7521,FTYL6J3,"SLEEP MANAGEMENT PRIVATE LIMITED",Normal Return,2026-08-14,2026-08-13,DC/26-27/1138,RDC002022,"Prisha Insurance Brokers Pvt Ltd",No,rented
TTSPL4497,8SMGZH3,"EasyRewardz Software Services Private Limited",Normal Return,2026-08-19,2026-08-13,DC/26-27/1160,RDC002018,"SPNN BUSINESS SERVICES PRIVATE LIMITED",No,rented
TTSPL3943,47Z2NQ2,"RENCOMM TELE SERVICES LLP",Normal Return,2026-08-19,2026-08-13,DC/26-27/1156,RDC002027,"URBANETEK INSURANCE BROKING PRIVATE LIMITED",No,rented
TTSPL3332,83B6KR2,"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-22,2026-08-13,DC/26-27/1163,RDC002035,"URBANETEK INSURANCE BROKING PRIVATE LIMITED",No,rented
TTSPL4116,51VP963,"MOEVING URBAN TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-24,2026-08-13,DC/26-27/1192,RDC002034,"BIODEAL PHARMACEUTICALS LIMITED",No,rented
TTSPL5672,9LTZP13,"RENCOMM TELE SERVICES LLP",Normal Return,2026-08-20,2026-08-13,DC/26-27/1171,RDC002028,"HYREKART INFRA INDIA PRIVATE LIMITED",No,rented
TTSPL2455,GSBQGJ3,"Truetech Services Pvt. Ltd.",Normal Return,2026-08-03,2026-08-12,DC/26-27/1054,RDC002013,"Truetech Services Pvt. Ltd.",Yes,returned
TTSPL4892,MH4LP233GM,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Normal Return,2026-08-19,2026-08-12,DC/26-27/1150,RDC001904,"PIBIT TECHNOLOGIES PRIVATE LIMITED",Yes,rented
TTSPL2691,PC0GBAWV,"Research Nester Private Limited",Normal Return,2026-08-06,2026-08-12,DC/26-27/1029,RDC001917,"Research Nester Private Limited",Yes,returned
TTSPL3736,2XBZ2J3,"GRUNMECH TECHNOLOGIES PRIVATE LIMITED",Replacement Return,2026-08-22,2026-08-11,DC/26-27/1173,RDC001965,"Optimizing Resources Private Limited",No,rented
TTSPL5423,CZPYVZ2,"MNR Solutions Pvt. Ltd.",Repair Return,2026-08-14,2026-08-11,DC/26-27/1130,RDC001974,"MNR Solutions Pvt. Ltd.",Yes,returned
TTSPL5231,PF3DT690,"ATTITUDE EVENTS PRIVATE LIMITED",Replacement Return,2026-08-25,2026-08-11,DC/26-27/1206,RDC001783,"Kuruma Travels Private Limited",No,rented
TTSPL6618,PG02YB28,"TRIPOCLAN TRAVEL PRIVATE LIMITED",Normal Return,2026-08-26,2026-08-11,DC/26-27/1207,RDC001994,"SelectAstro Private Limited",No,rented
TTSPL4550,GDBBZH3,"TRIPOCLAN TRAVEL PRIVATE LIMITED",Normal Return,2026-08-13,2026-08-11,DC/26-27/1125,RDC001992,"BRAINBOX NETWORK",No,rented
TTSPL3944,D066QN2,"QUREX HEALTH PRIVATE LIMITED",Replacement Return,2026-08-17,2026-08-10,DC/26-27/1141,RDC001804,"Digital Eco Innovision Private Limited",No,rented
