TTSPL ID,Serial Number,Status,Customer ID,Customer Name,DC Number,Entity,Brand,Model,Processor,Generation,RAM,Storage,GPU,Screen Size,Monthly Rate (ex GST),SO Rate (ex GST),Sales Order,Rent Start,Dispatched,Delivered,PO Number,PO Type
TTSPL1892,BF0KQ12,out_stock,,,,,Dell,DELL Latitude E7240,I5,4TH,8,256 SSD,Intel UHD Graphics,14-inch,,8475.00,SO-003502,,,,PO-0013,direct_purchase
TTSPL1928,4FB85Q2,out_stock,,,,,Dell,Dell Latitude 7490,I5,8TH,16,512 SSD,Intel UHD Graphics,14-inch,,19499.00,SO-002924,,,,PO-0006,rental_purchase
TTSPL1985,5CG515260N,out_stock,,,,,Dell,HP Elitebook 840 G1,I5,4TH,8,240 SSD,Intel UHD Graphics,14-inch,,8475.00,SO-003605,,,,PO-0013,direct_purchase
TTSPL2230,PC0474B1,out_stock,,,,,Dell,Lenovo Thinkpad T440,I5,4TH,8,240 SSD,Intel UHD Graphics,14-inch,,11000.00,SO/26-27/0551,,,,PO-0001,direct_purchase
TTSPL2631,FVFFW4VQ05F,out_stock,,,,,Dell,Apple Macbook Pro,M1,-,8,500 SSD,Intel UHD Graphics,14-inch,,90000.00,SO/26-27/0606,,,,PO-0006,rental_purchase
TTSPL2682,5CG9237RBJ,out_stock,,,,,Dell,HP Laptop Elitebook 840 G5,I5,8TH,8,256 SSD,Intel UHD Graphics,14-inch,,13983.00,SO-003699,,,,PO-0002,direct_purchase
TTSPL2739,5CG4482YGL,out_stock,,,,,Dell,HP Elitebook 840 G1,I5,4TH,8,240 SSD,Intel UHD Graphics,14-inch,,8475.00,SO-003549,,,,PO-0013,direct_purchase
TTSPL2745,5CG51432PJ,out_stock,,,,,HP,HP Elitebook 840 G1,I5,4TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,8900.00,SO/26-27/0348,,,,PO-0123,direct_purchase
TTSPL2767,G5H73G2,out_stock,,,,,Dell,Dell Latitude E5470,I5,6TH,8,250 SSD,Intel UHD Graphics,14-inch,,10593.00,SO/26-27/0524,,,,PO-0002,direct_purchase
TTSPL2813,HF5XFH2,out_stock,,,,,Dell,Dell Latitude E5480,I5,6TH,8,256 SSD,Intel UHD Graphics,14-inch,,10594.00,SO/26-27/0669,,,,PO-0002,direct_purchase
TTSPL2907,40C1RN2,out_stock,,,,,Dell,DELL Latitude 7480,I5,6TH,8,256 SSD,Intel UHD Graphics,14-inch,,11864.00,SO-003382,,,,PO-0013,direct_purchase
TTSPL2926,1G5Q5Q2,out_stock,,,,,Dell,Dell Latitude 7490,I5,8TH,8,250 SSD,Intel UHD Graphics,14-inch,,20000.00,SO/26-27/0469,,,,PO-0003,direct_purchase
TTSPL2930,J4LFNN2,out_stock,,,,,Dell,DELL Latitude 7480,I5,6TH,8,256 SSD,Intel UHD Graphics,14-inch,,10593.00,SO/26-27/0524,,,,PO-0013,direct_purchase
TTSPL2957,9MBCQ92,out_stock,,,,,Dell,Dell Latitude E7470,I5,6TH,16,250 SSD,Intel UHD Graphics,14-inch,,11017.00,SO/26-27/0293,,,,PO-0013,direct_purchase
TTSPL2967,JVKR8S2,out_stock,,,,,Dell,Dell Latitude 7490,I5,8TH,8,256 SSD,Intel UHD Graphics,14-inch,,17000.00,SO/26-27/0558,,,,PO-0006,rental_purchase
TTSPL3114,PF227YCZ,out_stock,,,,,Dell,Lenovo Thinkpad T490 (Touchscreen),I5,8TH,8,512 SSD,Intel UHD Graphics,14-inch,,12711.00,SO/26-27/0723,,,,PO-0002,direct_purchase
TTSPL3210,7F8K542,out_stock,,,,,Dell,Dell Latitude E7240,I5,4TH,8,256 SSD,Intel UHD Graphics,14-inch,,8475.00,SO/26-27/0605,,,,PO-0013,direct_purchase
TTSPL3284,9NGNVT2,out_stock,,,,,Dell,Dell Latitude 7490,I5,8TH,8GB,256GB SSD,Intel UHD Graphics,14-inch,,19499.00,SO-003065,,,,PO-0035,direct_purchase
TTSPL3314,JVJM4Y2,out_stock,,,,,Dell,Dell Latitude 7400 (Touch Screen),I7,8TH,16,512 SSD,Intel UHD Graphics,14-inch,,16102.00,SO-003527,,,,PO-0013,direct_purchase
TTSPL3403,HW2GN13,out_stock,,,,,Dell,Dell Latitude 7400,I7,8TH,16,512 SSD,Intel UHD Graphics,14-inch,,20000.00,SO/26-27/0469,,,,PO-0006,rental_purchase
TTSPL3422,6SDFVT2,out_stock,,,,,Dell,Dell Latitude 7490,I5,8TH,8,512 SSD,Intel UHD Graphics,14-inch,,12457.00,SO/26-27/0695,,,,PO-0003,direct_purchase
TTSPL3487,CNW72J3,out_stock,,,,,Dell,Dell Latitude 5420,I7,11TH,16,512 SSD,Intel UHD Graphics,14-inch,,34500.00,SO-003054,,,,PO-0003,direct_purchase
TTSPL3886,2X1D0N2,out_stock,,,,,Dell,Dell Latitude 7480,I5,6TH,16,256 SSD,Intel UHD Graphics,14-inch,,11017.00,SO-003605,,,,PO-0005,direct_purchase
TTSPL3892,34WXQ72,out_stock,,,,,Dell,Dell Latitude E7470,I5,6TH,8,256 SSD,Intel UHD Graphics,14-inch,,10594.00,SO/26-27/0670,,,,PO-0003,direct_purchase
TTSPL3915,3Q4KZM2,out_stock,,,,,Dell,Dell Latitude 7480,I5,6TH,8,256 SSD,Intel UHD Graphics,14-inch,,11017.00,SO-003729,,,,PO-0004,direct_purchase
